"点々","てんてん","here and there, little by little, sporadically, scattered in drops; dots, spots"
"天皇","てんのう","Emperor of Japan"
"","テンポ","tempo"
"","テーマ","theme, topic, subject matter, motif, project, slogan"
"出会い","であい","meeting, rendezvous, encounter; confluence"
"出入り","でいり","going in and out, entering and exiting; visiting regularly, frequenting, having regular dealings with; income and expenditure, incomings and outgoings; increase and decrease, surplus and deficit, fluctuation; fight, trouble, quarrel, dispute; indentations (e.g. of a coastline)"
"出入り口","でいりぐち","exit and entrance"
"出かける","でかける","to go out (e.g. on an excursion or outing), to leave, to depart, to start, to set out; to be about to leave, to be just going out"
"出来上がり","できあがり","completion, finish; workmanship, result, outcome"
"出来上がる","できあがる","to be completed, to be finished, to be ready (e.g. to serve or eat); to be very drunk"
"凸凹","でこぼこ","unevenness, roughness, ruggedness, bumpiness; inequality, imbalance, unevenness, difference"
"出鱈目","でたらめ","nonsense, irresponsible remark, codswallop, hogwash, rubbish; random, haphazard, unsystematic"
"出迎え","でむかえ","meeting, reception"
"出迎える","でむかえる","to meet, to greet"
"伝記","でんき","biography, life story"
"電球","でんきゅう","light bulb"
"伝染","でんせん","contagion, infection"
"電池","でんち","battery, cell"
"電柱","でんちゅう","utility pole, power pole, telephone pole, telegraph pole"
"電波","でんぱ","radio wave, reception, signal; saying strange things"
"電流","でんりゅう","electric current"
"電力","でんりょく","electric power"
"問い合わせ","といあわせ","enquiry, inquiry, query, interrogation, ENQ"
"統一","とういつ","unity, consolidation, uniformity, unification, compatible"
"統計","とうけい","statistics"
"峠","とうげ","(mountain) pass, highest point on a mountain road, ridge; peak (e.g. of summer), worst (e.g. of an illness), crisis, critical point, most difficult part"
"東西","とうざい","east and west; Orient and Occident, East and West; ladies and gentlemen!, your attention, please!, roll-up, roll-up"
"投書","とうしょ","letter (e.g. of complaint), letter to the editor, letter from a reader; contribution (to a newspaper, magazine, etc.)"
"当日","とうじつ","day in question, appointed day, that very day, the day (of issue, publication, etc.)"
"登場","とうじょう","entry (on stage), appearance (on screen); entrance, introduction (into a market)"
"灯台","とうだい","lighthouse; old-fashioned interior light fixture comprising a wooden pole with an oil-filled dish and a wick atop it"
"盗難","とうなん","theft, robbery"
"当番","とうばん","being on duty, person on duty, one's turn"
"等分","とうぶん","division into equal parts, equal parts"
"透明","とうめい","transparent, clear"
"灯油","とうゆ","kerosene, paraffin, lamp oil"
"東洋","とうよう","the East, the Orient, (East) Asia; Japan"
"通りかかる","とおりかかる","to happen to pass by"
"溶かす","とかす","to dissolve; to melt"
"尖る","とがる","to taper to a point, to become pointed, to become sharp; to look displeased, to look sour, to be on edge, to be touchy"
"溶く","とく","to dissolve (paint), to scramble (eggs), to melt (metal, etc.), to mix (water with flour, etc.)"
"特殊","とくしゅ","special, particular, peculiar, unique"
"特色","とくしょく","characteristic, feature, idiosyncrasy, personal colour; spot color"
"特長","とくちょう","strong point, forte, merit, strength"
"特定","とくてい","specific, particular, designated, special; specifying, designating, identifying, pinpointing"
"特売","とくばい","special sale"
"溶け込む","とけこむ","to melt into, to dissolve into, to merge into; to blend into (surroundings), to fit in, to adapt to, to integrate"
"溶ける","とける","to melt, to thaw, to fuse; to dissolve"
"床の間","とこのま","tokonoma (alcove where art or flowers are displayed)"
"床屋","とこや","barbershop, barber shop, barber"
"所々","ところどころ","here and there, in places"
"都心","としん","city centre (center) (esp. capital city), urban centre, heart of city a metropolis"
"戸棚","とだな","cupboard, locker, closet, wardrobe, cabinet"
"疾っくに","とっくに","long ago, a long time ago, already"
"整う","ととのう","to be ready, to be prepared, to be arranged; to be in order, to be put in order, to be well-ordered, to be well-proportioned, to be harmonious; to be adjusted, to be regulated, to be refined (e.g. of a face); to be settled (e.g. treaty, contract), to be completed"
"止まる","とどまる","to remain, to abide, to stay (in the one place); to be limited to, to be confined to, to only account for"
"飛び込む","とびこむ","to jump in, to leap in, to plunge into, to dive; to burst in, to barge in"
"飛ぶ","とぶ","to fly, to soar; to jump, to leap, to spring, to bound, to hop; to spatter, to scatter, to splash, to fly (e.g. of sparks); to hurry, to rush; to flee, to run off, to escape; to disappear, to vanish, to fade, to thin out; to break off, to come off, to fall off, to blow (of a fuse); to be sent out (of an order), to fly (of false rumours, catcalls, etc.); to come flying (of a punch, kick, etc.); to be missing (of a page, stitch, etc.), to skip, to jump (e.g. of a conversation)"
"止まる","とまる","to stop (moving), to come to a stop; to stop (doing, working, being supplied), to come to a halt, to cease, to be stopped, to be suspended; to alight, to perch on"
"泊める","とめる","to give shelter to, to lodge, to put up, to accommodate"
"兎も角","ともかく","anyhow, anyway, somehow or other, generally speaking, in any case, be that as it may; apart from ..., setting ... aside"
"捉える","とらえる","to catch, to capture, to seize, to arrest, to grab, to catch hold of; to grasp (e.g. meaning), to perceive, to capture (e.g. features); to captivate, to move (one's heart)"
"取り入れる","とりいれる","to harvest, to reap; to take in, to gather in; to adopt (e.g. idea), to accept (e.g. advice), to introduce, to borrow (e.g. word)"
"取り消す","とりけす","to cancel, to withdraw, to retract, to take back (words, etc.), to revoke"
"取り出す","とりだす","to take out, to produce, to pick out; to fetch, to retrieve"
"採る","とる","to adopt (method, proposal, etc.), to take (measure, course of action, etc.), to decide on; to pick (e.g. flowers), to gather (e.g. mushrooms), to catch (e.g. insects); to extract (e.g. juice), to take (e.g. a sample); to assume (an attitude); to take on (workers, students), to employ, to hire; to draw in (e.g. water), to let in (e.g. light from a window)"
"捕る","とる","to catch (a wild animal, fish, insect, baseball, etc.), to capture"
"","トレーニング","training (for a skill, job, sport, etc.), practice; working out, workout, (strength, weight) training"
"銅","どう","copper (Cu); bronze (medal)"
"同格","どうかく","the same rank, equality; apposition"
"動作","どうさ","movement (of the body), action, motion, gesture; bearing, carriage, behaviour, behavior, demeanour, demeanor; operation (of a machine, software, etc.), running, working, functioning"
"","どうせ","anyhow, in any case, at any rate, after all, at all, no matter what; at best, at most"
"どうぞ宜しく","どうぞよろしく","pleased to meet you, how do you do; my regards (to someone), my greetings, best wishes, remember me to"
"童話","どうわ","children's story, fairy tale"
"","ドキドキ","thump-thump, bang-bang, pit-a-pat, pitapat, pitter-patter; to beat fast (of one's heart), to throb, to pound, to palpitate"
"退く","どく","to step aside, to move (i.e. out of the way), to make way; to resign, to retire, to quit, to secede"
"退ける","どける","to put something out of the way, to move (something, someone) aside"
"","どっと","bursting out (laughter), breaking out (applause), roaring, whooping; in a rush, in a surge, flooding in, pouring in; suddenly, all of a sudden"
"怒鳴る","どなる","to shout (in anger), to yell"
"丼","どんぶり","porcelain bowl; donburi, bowl of meat, fish, etc. served over rice"
"内科","ないか","internal medicine; department of internal medicine"
"内線","ないせん","phone extension, indoor wiring, inner line"
"","ナイロン","nylon"
"治す","なおす","to cure, to heal; to fix, to correct, to repair; to do over again; to replace, to put back as it was; to convert (into a different state), to transform"
"仲直り","なかなおり","reconciliation, make peace with"
"中身","なかみ","contents, interior, filling; substance, content; (sword) blade"
"中指","なかゆび","middle finger, long finger, second finger, tall finger; middle toe, third toe"
"仲良し","なかよし","intimate friend, close friend, bosom buddy, chum"
"長い","ながい","long (distance, length); long (time), protracted, prolonged"
"長引く","ながびく","to be prolonged, to drag on"
"亡くす","なくす","to lose (through death; e.g. a wife, child)"
"慰める","なぐさめる","to comfort, to console, to amuse"
"殴る","なぐる","to strike, to hit, to beat, to punch"
"為す","なす","to build up, to establish; to form, to become (a state); to accomplish, to achieve, to succeed in; to change into; to do, to perform; to intend to, to attempt, to try"
"謎々","なぞなぞ","riddle, puzzle, enigma"
"","なだらか","gently sloping, gentle, gradual, easy; smooth (process), gentle (e.g. tone of voice), slow (e.g. growth)"
"懐かしい","なつかしい","dear (old), fondly-remembered, beloved, missed, nostalgic"
"撫でる","なでる","to stroke, to caress, to brush gently, to pat, to rub; to comb (hair), to smooth down"
"斜め","ななめ","slanting, tilted, sloping, diagonal, oblique; distorted (feeling), slanted (e.g. view of the world), bad (mood), amiss, awry"
"何しろ","なにしろ","at any rate, anyhow, anyway, in any case, because, as you know, for you see"
"何々","なになに","what; so-and-so, such and such, something (or other); what?, wait, hang on; well, well, let's see; no, oh (not at all), please, there, there"
"生意気","なまいき","impertinent, saucy, cheeky, impudent, audacious, cocky, pert, brash"
"並木","なみき","roadside tree, row of trees"
"倣う","ならう","to imitate, to follow, to copy, to emulate"
"鳴らす","ならす","to ring, to sound, to chime, to beat, to snort (nose), to snap (fingers), to crack (joints); to be popular, to be esteemed, to be reputed; to state, to insist, to complain; to fart (loudly)"
"生る","なる","to bear fruit"
"慣れる","なれる","to get used to, to grow accustomed to, to become familiar with; to become skilled in, to become experienced at; to become tame, to become domesticated; to get used to doing"
"南極","なんきょく","South Pole; the Antarctic, Antarctica"
"何となく","なんとなく","somehow or other, for some reason or another, without knowing why"
"何とも","なんとも","really, very, extremely, terribly, awfully; (not) anything, (not) at all, (not) a bit"
"","ナンバー","number; number plate, license plate"
"何分","なんぷん","what minute, how many minutes"
"南米","なんべい","South America"
"南北","なんぼく","north and south, north to south; South Korea and North Korea"
"煮える","にえる","to be boiled, to be cooked"
"匂う","におう","to be fragrant, to smell (good); to stink, to smell (bad); to glow, to be bright; to smack of, to show hints of"
"逃がす","にがす","to set free, to let go, to release; to miss (e.g. a chance), to lose, to let get away, to fail to catch"
"憎い","にくい","hateful, abominable, poor-looking, detestable; amazing, fantastic, admirable, lovely, wonderful"
"憎む","にくむ","to hate, to detest"
"憎らしい","にくらしい","odious, hateful, detestable, horrible; (speaking ironically) darling"
"","ニコニコ","with a friendly grin, smilingly"
"濁る","にごる","to become muddy, to become cloudy, to get impure (of a liquid, gas, etc.); to become dull (of a sound, color, etc.), to become hoarse; to become impure (of a heart, society, etc.), to be corrupted, to be polluted; to become voiced, to add voiced consonant marks"
"虹","にじ","rainbow"
"日時","にちじ","date and time"
"日用品","にちようひん","daily necessities"
"日課","にっか","daily routine, daily work, daily lesson"
"日程","にってい","schedule, program, programme, agenda"
"鈍い","にぶい","dull (e.g. a knife), blunt; thickheaded, obtuse, stupid; dull (sound, color, etc.), dim (light); slow, sluggish, inert, lethargic; insensitive, dull (e.g. reflexes), unperceptive, unfeeling"
"入社","にゅうしゃ","joining a company, getting a job with a company, starting work at a company"
"女房","にょうぼう","wife (esp. one's own wife); court lady, female court attache, woman who served at the imperial palace; woman (esp. as a love interest)"
"睨む","にらむ","to glare at, to scowl at, to glower at; to stare intensely at, to examine carefully; to estimate, to guess, to suspect, to judge; to keep an eye on someone (e.g. a suspicious or untrustworthy person), to watch; to take account of, to take into consideration"
"煮る","にる","to boil, to simmer, to stew, to seethe"
"俄","にわか","sudden, abrupt, unexpected, improvised, hasty, offhand; impromptu skit; bandwagon fan, fair-weather fan"
"縫う","ぬう","to sew, to stitch; to weave one's way (e.g. through a crowd)"
"濡らす","ぬらす","to wet, to moisten, to dampen, to soak, to dip"
"螺子","ねじ","screw; key (of a clock, watch, etc.), spring"
"捩る","ねじる","to screw, to twist; to distort, to parody, to make a pun; to torture, to wrest"
"","ネックレス","necklace"
"熱する","ねっする","to heat, to heat up"
"寝巻き","ねまき","nightclothes, nightwear, sleepwear, pyjamas, pajamas, nightgown, nightdress"
"狙い","ねらい","aim"
"狙う","ねらう","to aim at (with a weapon, etc.); to be after (something or someone), to have an eye on, to plan to make one's own; to aim for, to set up as a goal"
"年度","ねんど","fiscal year (usu. April 1 to March 31 in Japan), financial year; academic year, school year; product year"
"農産物","のうさんぶつ","agricultural produce"
"農村","のうそん","agricultural community, farm village; rural"
"濃度","のうど","concentration, density; cardinality"
"農薬","のうやく","agricultural chemical (i.e. pesticide, herbicide, fungicide, etc.), agrochemical, agrichemical"
"能率","のうりつ","efficiency; moment (i.e. magnetic moment)"
"鋸","のこぎり","saw; musical saw"
"残らず","のこらず","all, entirely, completely, without exception"
"乗せる","のせる","to place on (something); to give (someone) a ride, to give a lift, to pick up, to help on board; to load (luggage), to carry, to take on board; to send out (on the airwaves, etc.); to deceive, to take for a ride; to (sing) along with (musical accompaniment); to let (someone) take part; to excite (someone); to publish (an article), to run (an ad)"
"覗く","のぞく","to peek (through a keyhole, gap, etc.); to look down into (a ravine, etc.); to peek into (a shop, bookstore, etc.); to sneak a look at, to take a quick look at; to peep (through a telescope, microscope, etc.); to stick out (a scarf from a collar, etc.), to peek through (sky through a forest canopy, etc.); to examine (an expression), to study (a face); to face"
"伸ばす","のばす","to grow long (e.g. hair, nails); to lengthen, to extend, to stretch; to reach out, to hold out; to straighten, to smooth out; to spread evenly (dough, cream, etc.); to dilute, to thin out; to postpone; to prolong; to strengthen, to develop, to expand"
"伸びる","のびる","to stretch, to extend, to lengthen, to grow (of hair, height, grass, etc.); to straighten out, to be flattened, to become smooth; to spread (of paint, cream, etc.); to stretch out (e.g. of a hand), to extend; to lose elasticity, to become slack, to become soggy (e.g. noodles); to make progress, to develop, to expand, to increase, to improve; to be exhausted, to be groggy, to pass out, to collapse; to be prolonged (meeting, life span, etc.), to be extended (e.g. deadline), to lengthen (e.g. of the days); to be postponed, to be delayed, to be put off"
"上り","のぼり","ascent, climbing, ascending (path), climb; up-train, train heading toward the starting point of its route; upbound (esp. toward Tokyo); upstream, uphill"
"上る","のぼる","to ascend, to go up, to climb; to ascend (as a natural process, e.g. the Sun), to rise; to go to (the capital); to be promoted; to add up to; to advance (in price); to swim up (a river), to sail up; to come up (on the agenda)"
"糊","のり","paste, glue; clothing starch"
"乗り換え","のりかえ","transfer (trains, buses, etc.), change, connection; switch (to another ideology, party, system, method, etc.), change, conversion; switching (stock); chromosomal crossover, crossing over"
"載る","のる","to be placed on, to be set on, to be piled on, to be loaded on; to appear (in print), to be mentioned, to be recorded, to be reported, to be given"
"鈍い","のろい","thickheaded, obtuse, stupid; slow, sluggish, inert, lethargic; indulgent (esp. to the opposite sex), doting"
"","のろのろ","slowly, sluggishly"
"呑気","のんき","carefree, optimistic, careless, reckless, heedless, happy-go-lucky, easygoing, thoughtless"
"灰色","はいいろ","grey, gray, ashen"
"俳句","はいく","haiku, 17-mora poem, usu. in 3 lines of 5, 7 and 5 morae"
"拝見","はいけん","seeing, looking at"
"這う","はう","to crawl, to creep, to go on all fours; to slither, to wriggle; to trail (of vines, flowers, etc.), to spread, to creep"
"生える","はえる","to grow, to spring up, to sprout; to cut (teeth)"
"秤","はかり","scales, weighing machine"
"計る","はかる","to measure, to weigh, to survey, to time (sound, gauge, estimate); to conjecture, to infer, to surmise"
"剥がす","はがす","to tear off, to peel off, to rip off, to strip off, to skin, to flay, to disrobe, to deprive of, to detach, to disconnect"
"吐き気","はきけ","nausea, feeling like throwing up, feeling sick"
"","はきはき","briskly, smartly, promptly, clearly, lucidly"
"掃く","はく","to sweep, to brush, to clean; to gather silkworms"
"歯車","はぐるま","gear, cogwheel; cog (in an organization, company, etc.), cog in the machine"
"挟まる","はさまる","to get between, to be caught in"
"挟む","はさむ","to hold between (e.g. one's fingers, chopsticks), to grip (from both sides); to put between, to sandwich between, to insert, to interpose; to catch (e.g. a finger in a door), to trap, to pinch; to insert (e.g. a break into proceedings), to interpose (e.g. an objection), to interject, to throw in (e.g. a joke); to be on either side of (a road, table, etc.), to have between each other, to be across (a street, river, etc.); to harbour (feelings), to cast (e.g. doubt)"
"箸","はし","chopsticks"
"梯子","はしご","ladder; stairs; going to several places in succession (e.g. barhopping)"
"初めに","はじめに","first, firstly, first of all, to begin with, in the beginning, at the beginning; Introduction, Preface"
"初めまして","はじめまして","How do you do?, I am glad to meet you"
"斜","はす","diagonal"
"外れる","はずれる","to be disconnected, to get out of place, to be off, to be out (e.g. of gear); to miss the mark, to get it wrong (e.g. guess, expectation), to draw a blank (e.g. lottery); to be removed, to be excluded; to be contrary to, to go against"
"果たして","はたして","as was expected, just as one thought, sure enough; really, actually, ever"
"肌着","はだぎ","underwear, underclothes, lingerie, chemise, singlet"
"鉢","はち","bowl, pot, basin; flowerpot; crown, brainpan"
"発揮","はっき","show (of power, ability, etc.), exhibition, demonstration, display, manifestation"
"発射","はっしゃ","firing (esp. a rocket or missile), launching, shooting, discharge, catapult; ejaculation"
"発想","はっそう","idea, conception; way of thinking, approach; expression"
"発電","はつでん","generation (e.g. power); sending a telegram, telegraphing"
"発売","はつばい","sale, offering for sale, release (for sale), launch (product)"
"派手","はで","showy, loud, gay, flashy, gaudy"
"話し合い","はなしあい","discussion, talk, tête-à-tête, conference"
"話しかける","はなしかける","to address (someone), to accost a person, to talk (to someone); to begin to talk, to start a conversation"
"話し中","はなしちゅう","busy (phone); in talks, discussion underway"
"甚だしい","はなはだしい","extreme, excessive, terrible, intense, severe, serious, tremendous, heavy (damage)"
"花火","はなび","fireworks"
"花嫁","はなよめ","bride"
"放れる","はなれる","to get free (from), to be freed, to be released"
"羽","はね","feather, plume, down; wing; blade (of a fan, propeller, etc.); shuttlecock (in badminton); shuttlecock (in hanetsuki); arrow feathers"
"跳ねる","はねる","to jump, to leap, to prance, to spring up, to bound, to hop; to break up, to close, to come to an end; to hit (e.g. to have a car hit something or someone)"
"破片","はへん","fragment, broken piece, splinter, chip, shard"
"歯磨き","はみがき","dental brushing, brushing one's teeth; dentifrice, toothpaste, tooth powder"
"嵌める","はめる","to insert, to put in (such that there is a snug fit), to button, to put on (something that envelops, e.g. gloves, ring); to have sex, to fuck; to pigeonhole (into a particular category); to place a ring-shaped object around something (esp. one that restricts freedom, such as handcuffs); to entrap, to set someone up (e.g. frame them for a crime, etc.)"
"早口","はやくち","fast-talking, rapid talking"
"流行る","はやる","to be popular, to come into fashion; to be prevalent, to spread widely (e.g. disease), to be endemic; to flourish, to thrive"
"払い込む","はらいこむ","to deposit, to pay in"
"払い戻す","はらいもどす","to repay, to pay back, to refund, to reimburse"
"針金","はりがね","wire"
"張り切る","はりきる","to be in high spirits, to be full of vigor (vigour), to be enthusiastic, to be eager, to stretch to breaking point"
"反映","はんえい","reflection (of light); reflection (of society, attitudes, etc.); application (of an update, changes, etc.), taking effect"
"半径","はんけい","radius"
"判子","はんこ","seal (used in lieu of a signature), stamp, chop"
"判事","はんじ","judge, judiciary"
"反省","はんせい","reflection, reconsideration, introspection, meditation, contemplation; regret, repentance, remorse, being sorry"
"半島","はんとう","peninsula; Korea"
"","ハンドル","handle; steering wheel; handlebar, handlebars; handle, screen name, username"
"売店","ばいてん","stand, stall, booth, kiosk, store"
"売買","ばいばい","trade, buying and selling, trafficking (e.g. of humans, arms, drugs), dealing"
"","バイバイ","bye-bye, good-bye, see you, so long; saying goodbye, parting"
"馬鹿らしい","ばからしい","absurd, foolish, stupid, silly, nonsense, ludicrous, preposterous, laughable, ridiculous"
"","バケツ","bucket, pail; skip"
"","バック","back, rear; background, backdrop; backing (up), going backwards, reversing; backing, support, backer, supporter; refunding; backstroke (swimming); backhand; doggy style (sexual position)"
"ｘ","ばつ","x (mark), cross; MDMA, ecstasy, molly"
"発条","ばね","spring; spring (in one's legs), bounce; springboard, impetus"
"","バランス","balance"
"万歳","ばんざい","banzai, hurray, hurrah, hooray; something to cheer about, something worthy of celebration; giving up, throwing one's hands up; eternal life and prosperity"
"番地","ばんち","house number, address"
"","バンド","band; belt"
"","パターン","pattern; behavioural pattern, behavioral pattern, predictability, force of habit"
"","パンツ","underpants, pants, briefs, panties, shorts, knickers; trousers (esp. women's), jodhpurs, breeches, pants, trunks (e.g. swimming)"
"日当たり","ひあたり","exposure to the sun, sunny place; per day"
"比較的","ひかくてき","comparatively, relatively"
"日陰","ひかげ","shade, shadow; sunshine"
"日帰り","ひがえり","day trip"
"引き受ける","ひきうける","to take on, to undertake, to accept, to take charge of, to assume responsibility for; to take over, to inherit; to guarantee, to vouch for; to contract (a disease)"
"引き返す","ひきかえす","to turn back, to go back, to come back, to return, to retrace one's steps"
"引き算","ひきざん","subtraction"
"引き出す","ひきだす","to pull out, to take out, to draw out; to lead out (e.g. a horse from a stable), to summon (e.g. to court), to bring (e.g. someone to the negotiating table), to drag; to withdraw (money), to draw; to bring out (talent, potential, beauty, flavour, etc.), to extract (information, the truth, etc.), to get (e.g. an answer out of someone), to obtain (e.g. a result), to elicit, to draw (a conclusion), to derive (e.g. pleasure); to get (money) out of someone, to coax out of someone, to get someone to pay, to make someone produce (funds)"
"引き止める","ひきとめる","to detain, to check, to restrain, to stop"
"卑怯","ひきょう","cowardly, craven; unfair, mean, sneaky, dirty, dastardly"
"引き分け","ひきわけ","draw (in competition), tie game"
"髭","ひげ","moustache, beard, whiskers; whiskers (on a cat, etc.), feelers (on an insect, etc.), (chin) tuft; shadow (on a candlestick chart)"
"日差し","ひざし","sunlight, rays of the Sun"
"肘","ひじ","elbow"
"引っかかる","ひっかかる","to be caught in, to be stuck in; to stop by, to drop in for a short visit, to be delayed, to take time; to get mixed up in (trouble), to get entangled in (a problem), to be involved with; to fall for (a trick), to be deceived, to be cheated; to be on one's mind, to worry one, to be bothered by, to feel uneasy; to be obstructed, to be hindered; to splash"
"筆記","ひっき","(taking) notes, copying"
"ひっくり返す","ひっくりかえす","to turn over, to turn upside down, to turn up, to turn inside out, to turn out; to knock over, to tip over; to overturn (e.g. a decision), to upset, to reverse"
"ひっくり返る","ひっくりかえる","to be overturned, to be reversed, to turn over, to capsize; to fall down, to tumble down, to topple over, to lie on one's back"
"引っ越し","ひっこし","moving (dwelling, office, etc.), changing residence"
"引っ込む","ひっこむ","to draw back, to sink, to cave in; to be set back (e.g. from a road); to withdraw (e.g. from the public eye), to retire to (somewhere), to stay indoors, to butt out, to stay out of it"
"筆者","ひっしゃ","writer, author"
"必需品","ひつじゅひん","necessities, necessary article, requisite, essentials"
"人差し指","ひとさしゆび","index finger, forefinger; second toe"
"一通り","ひととおり","generally, in the main, briefly (look over, explain, etc.), roughly, more or less; (more or less) everything, all parts, bit of everything, whole process; ordinary, usual, average, common; one method"
"人通り","ひとどおり","pedestrian traffic"
"一先ず","ひとまず","for now, for the time being, for the present; though not quite satisfactorily, after a fashion"
"瞳","ひとみ","pupil (of eye); eye"
"一休み","ひとやすみ","(short) rest, breather, break"
"独り言","ひとりごと","soliloquy, monologue, speaking to oneself"
"独りでに","ひとりでに","by itself, automatically, naturally"
"皮肉","ひにく","irony, sarcasm, cynicism, satire; unexpected, different from what one expected, not as one had planned; (only) surface, something superficial; skin and bone, body"
"日にち","ひにち","date (of a planned event, act, etc.), day; (number of) days"
"捻る","ひねる","to twist, to wrench, to turn (a switch on or off, etc.), to wring (a neck); to puzzle over; to defeat easily"
"日の入り","ひのいり","sunset"
"日の出","ひので","sunrise"
"響き","ひびき","echo, reverberation; sound (esp. the distinctive sound of an object or activity, e.g. rain, gun, gallop, drum), noise; quality of a sound (e.g. a fine phrase, clear voice, resonant bell), feeling of a sound, emotion or feeling inspired by something heard or read"
"響く","ひびく","to resound, to be heard far away; to reverberate, to shake, to vibrate; to come (home), to remain (with someone); to have an effect, to make an impression"
"皮膚","ひふ","skin"
"百科事典","ひゃっかじてん","encyclopedia, encyclopaedia"
"冷やす","ひやす","to cool (from room temperature), to chill, to refrigerate; to calm down, to cool off, to regain one's composure, to relax; to be frightened (at), to be scared (of)"
"表紙","ひょうし","cover (of a book, magazine, etc.), binding; to appear on the cover of a magazine"
"標識","ひょうしき","sign, mark, flag"
"標準","ひょうじゅん","standard, level, norm"
"標本","ひょうほん","example, specimen, sample"
"評論","ひょうろん","criticism, critique"
"平仮名","ひらがな","hiragana, cursive Japanese syllabary used primarily for native Japanese words (esp. function words, inflections, etc.)"
"昼寝","ひるね","(afternoon) nap, sleeping during the day, siesta"
"広げる","ひろげる","to spread, to extend, to expand, to enlarge, to widen, to broaden; to unfold, to open, to unroll, to unwrap; to scatter about, to spread around; to make flourish, to cause to prosper"
"広さ","ひろさ","area, extent, dimensions, size; width, breadth"
"広場","ひろば","public square, square, plaza, piazza, forum; open space, clearing"
"広々","ひろびろ","extensive, spacious"
"広める","ひろめる","to spread, to propagate, to popularize, to disseminate; to broaden, to extend, to widen, to enlarge"
"","ビタミン","vitamin"
"","ビニール","vinyl, plastic; vinyl record"
"美容","びよう","beauty, good figure, (beautiful) appearance, (beautiful) features; beautification, beauty treatment, beauty culture, cosmetics"
"","ビルディング","multi-floor building, multi-storey building, tall building"
"便箋","びんせん","writing paper, stationery, notepaper"
"瓶詰め","びんづめ","bottling, bottled"
"","ピカピカ","with a glitter, with a sparkle; brand new, shiny and new; cleaned (of a plate, etc.), finished"
"","ピストル","pistol"
"","ぴったり","tightly, closely; exactly, precisely; suddenly (stopping); perfectly (suited), ideally"
"","ピンク","pink; erotic (usually used in relation to the sex industry), blue, pornographic"
"","ファスナー","fastener, zipper"
"風船","ふうせん","balloon (esp. small, toy variety); airship, blimp"
"不運","ふうん","misfortune, bad luck, ill luck, ill fortune"
"増える","ふえる","to increase, to multiply"
"深まる","ふかまる","to deepen, to heighten, to intensify"
"不規則","ふきそく","irregularity, unsteadiness, disorderly"
"普及","ふきゅう","diffusion, spread, popularization, promulgation, familiarization"
"付近","ふきん","neighborhood, neighbourhood, vicinity, environs, surrounding area, district"
"拭く","ふく","to wipe, to dry"
"副詞","ふくし","adverb"
"複写","ふくしゃ","copying, duplication, reproduction, copy"
"複数","ふくすう","plural, multiple, several"
"含める","ふくめる","to include (in a group or scope); to instruct, to make one understand; to include (a nuance), to put in (an implication); to put in (someone's) mouth; to permeate with flavor"
"膨らます","ふくらます","to swell, to expand, to inflate, to bulge"
"膨らむ","ふくらむ","to expand, to swell (out), to get big, to become inflated"
"不潔","ふけつ","unclean, dirty, unsanitary, filthy; indecent, dirty (story, money, etc.), obscene, immoral"
"更ける","ふける","to get late, to advance, to wear on"
"符号","ふごう","sign, mark, symbol, code; sign (e.g. positive, negative)"
"夫妻","ふさい","husband and wife, married couple"
"塞がる","ふさがる","to be closed, to be blocked, to be healed (e.g. wound), to be shut up; to be clogged, to be plugged up; to be occupied, to be taken (e.g. accommodation)"
"塞ぐ","ふさぐ","to stop up, to close up, to block (up), to plug up, to shut up, to cover (ears, eyes, etc.), to close (eyes, mouth); to stand in the way, to obstruct; to occupy, to fill up, to take up; to perform one's role, to do one's duty; to feel depressed, to be in low spirits, to mope"
"巫山戯る","ふざける","to joke, to jest, to kid, to josh; to make fun of, to laugh at, to play a prank; to romp, to gambol, to frolic, to frisk, to mess around, to fool around, to screw around; to neck, to make out"
"襖","ふすま","fusuma, Japanese sliding screen"
"付属","ふぞく","being attached (to), being affiliated (to), belonging (to), going with; attached school, affiliated school"
"蓋","ふた","cover, lid, cap"
"不通","ふつう","suspension, interruption, stoppage, tie-up, cessation"
"船便","ふなびん","surface mail (ship), sea mail; ferry service, steamer service"
"吹雪","ふぶき","snow storm, blizzard"
"父母","ふぼ","father and mother, parents"
"踏切","ふみきり","railway crossing, railroad crossing, train crossing, level crossing; starting line, scratch; determination; stepping over the edge of the ring"
"麓","ふもと","foot (of a mountain or hill), bottom, base"
"増やす","ふやす","to increase, to add to, to augment"
"","フライパン","fry pan, frying pan"
"振り仮名","ふりがな","furigana, kana over or beside kanji to indicate pronunciation"
"","フリー","free (of restraint, controls, etc.); free (of cost); freelance; one-size"
"振る舞う","ふるまう","to behave, to conduct oneself; to entertain, to treat someone (to a drink), to make tea for someone (tea ceremony)"
"風呂敷","ふろしき","wrapping cloth, cloth wrapper"
"","ふわふわ","lightly (floating, drifting, etc.), buoyantly; soft, fluffy, spongy; unsteadily, flightily, fickly, frivolously"
"噴火","ふんか","eruption, volcanic eruption"
"噴水","ふんすい","water fountain"
"無沙汰","ぶさた","not writing or contacting for a while, neglecting to write (call, visit, etc.), failing to write (call, visit, etc.), long silence"
"武士","ぶし","warrior, samurai"
"部首","ぶしゅ","radical (of a kanji character)"
"物騒","ぶっそう","dangerous, unsettled, troubled, disturbed, insecure"
